file,components_found,removed_components,removed_sizes,kept_sizes,changed,output_file
characters/assassin/041_mythic_assassin_041.png,1,0,,133574,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/041_mythic_assassin_041.png
characters/assassin/042_mythic_assassin_042.png,1,0,,131304,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/042_mythic_assassin_042.png
characters/assassin/043_mythic_assassin_043.png,1,0,,133101,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/043_mythic_assassin_043.png
characters/assassin/044_mythic_assassin_044.png,1,0,,131757,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/044_mythic_assassin_044.png
characters/assassin/045_mythic_assassin_045.png,1,0,,134756,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/045_mythic_assassin_045.png
characters/assassin/046_mythic_assassin_046.png,1,0,,134037,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/046_mythic_assassin_046.png
characters/assassin/047_mythic_assassin_047.png,1,0,,130368,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/047_mythic_assassin_047.png
characters/assassin/048_mythic_assassin_048.png,1,0,,135952,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/048_mythic_assassin_048.png
characters/assassin/049_mythic_assassin_049.png,1,0,,130797,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/049_mythic_assassin_049.png
characters/assassin/050_mythic_assassin_050.png,1,0,,130054,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/050_mythic_assassin_050.png
characters/assassin/051_mythic_assassin_051.png,1,0,,131325,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/051_mythic_assassin_051.png
characters/assassin/052_mythic_assassin_052.png,1,0,,131434,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/052_mythic_assassin_052.png
characters/assassin/053_mythic_assassin_053.png,1,0,,131925,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/053_mythic_assassin_053.png
characters/assassin/054_mythic_assassin_054.png,1,0,,131870,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/054_mythic_assassin_054.png
characters/assassin/055_mythic_assassin_055.png,1,0,,131722,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/055_mythic_assassin_055.png
characters/assassin/056_mythic_assassin_056.png,1,0,,135111,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/056_mythic_assassin_056.png
characters/assassin/057_epic_assassin_057.png,1,0,,80335,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/057_epic_assassin_057.png
characters/assassin/058_legendary_assassin_058.png,1,0,,68341,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/058_legendary_assassin_058.png
characters/assassin/059_legendary_assassin_059.png,1,0,,65943,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/059_legendary_assassin_059.png
characters/assassin/060_epic_assassin_060.png,1,0,,66333,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/060_epic_assassin_060.png
characters/assassin/061_legendary_assassin_061.png,2,0,,65373|1053,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/061_legendary_assassin_061.png
characters/assassin/062_legendary_assassin_062.png,1,0,,70978,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/062_legendary_assassin_062.png
characters/assassin/063_legendary_assassin_063.png,2,0,,69937|1165,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/063_legendary_assassin_063.png
characters/assassin/064_epic_assassin_064.png,1,0,,78687,False,/root/perbug/generated_assets_cleaned_very_strict/characters/assassin/064_epic_assassin_064.png
characters/caster/001_mythic_caster_001.png,1,0,,140206,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/001_mythic_caster_001.png
characters/caster/002_mythic_caster_002.png,1,0,,133448,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/002_mythic_caster_002.png
characters/caster/003_mythic_caster_003.png,2,0,,128634|2953,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/003_mythic_caster_003.png
characters/caster/004_mythic_caster_004.png,1,0,,134343,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/004_mythic_caster_004.png
characters/caster/005_mythic_caster_005.png,1,0,,136951,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/005_mythic_caster_005.png
characters/caster/006_mythic_caster_006.png,1,0,,127362,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/006_mythic_caster_006.png
